image_id,category,license,dataset_name,image_path,description,source_url,data_kind,is_external_reference
HF-JEWELRY-0011,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/0J4OHJWD35A8.jpg,"A delicate silver bracelet with a filigree design featuring repeating butterfly motifs, adorned with small, sparkling diamonds.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0012,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/0JOVO66NH8NZ.jpg,"A bronze cuff bracelet engraved with ""I LOVE YOU"".",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0013,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/0LMDJG11WE0S.jpg,"Close-up of a black, studded elastic bracelet.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0014,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/0TW1LGMLRAWX.jpg,"A delicate gold necklace featuring a cluster of irregularly shaped, off-white gemstones.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0015,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/0UFSYZ217O51.jpg,A rose gold bracelet with a white ceramic and rose gold central element on a textured chain.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0016,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/0X8F0EH1FXYE.jpg,A silver Alex and Ani Hogwarts house charm bangle bracelet.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0017,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/10047527649310.jpg,Gold beaded bracelet with two large golden pearls and diamond accents.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0018,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/100UP9VF7WMN.jpg,A sterling silver Tiffany & Co. heart tag bracelet on a white background.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0019,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/10530C32BLTK.jpg,A delicate rose gold intertwined hearts charm bracelet on a dark brown cord.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0020,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/17SPDO6HO14K.jpg,"Three delicate gold, rose gold, and silver bar bracelets with engraved personalized messages lie intertwined on a white background.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0021,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/18ct-white-gold-2-row-akoya-pearl-0-92ct-diamond-bracelet-p875-4916_image.jpg,A double-strand pearl bracelet with a diamond clasp.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0022,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/1CIZFWA6KG94.jpg,"A gold bracelet with intricately carved, leaf-shaped beads linked by delicate chains.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0023,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/1DFX4SUBN7IJ.jpg,"A gold bracelet with a personalized nameplate reading ""Emily"" and a beaded clasp.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0024,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/1EJ4YT88W2FA.jpg,A close-up shot of a silver twisted rope bracelet with a small ball clasp.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0025,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/1IFBWI02T4UC.jpg,"A delicate rose gold adjustable bracelet adorned with a cluster of clear, marquise-shaped cubic zirconia stones.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0026,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/1KN3NNCZUKM9.jpg,"A black cord bracelet with a silver diamond-shaped charm featuring the initials ""HMP"" and ""V"" in a minimalist design.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0027,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/1M7ISACWQ2FJ.jpg,A rose gold Cartier Juste un Clou bracelet paved with diamonds.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0028,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/1NLZL9TQ1RBN.jpg,"A wide, silver cuff bracelet with a gold border, featuring a repeating geometric floral cutout pattern.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0029,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/1PC34DAV4UVT.jpg,"A gold bracelet with three charms, including one with small diamonds, on a snake chain.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0030,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/1R2J7ROMA59G.jpg,A delicate gold chain bracelet adorned with a cluster of irregularly shaped white pearls.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0031,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/1RLNDZXWU9XM.jpg,A sterling silver curb chain bracelet with a double heart toggle clasp.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0032,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/1SY23F78RJG6.jpg,A gold bracelet with channel-set diamonds in a geometric pattern.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0033,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/1TNK1GV62F5L.jpg,A silver Pandora bracelet with a clasp showing the Pandora logo.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0034,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/1U7C9X4MCZSN.jpg,"A silver bracelet crafted from a repurposed spoon, adorned with floral details and a central silver bead.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0035,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/20WQIS8HSYW8.jpg,"A close-up shot of a men's layered bracelet featuring black leather, metal studs, and black and silver beads on a white background.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0036,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/21IWBZI4BZEC.jpg,A close-up shot of a multi-layered beige and silver bracelet adorned with rhinestones and a feather charm.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0037,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/22O1ZFD6TSKL.jpg,A dazzling tennis bracelet featuring a continuous row of brilliant-cut diamonds set in a gleaming white metal.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0038,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/2DDDCOBDYJV4.jpg,A stunning tennis bracelet featuring a row of brilliant-cut diamonds set in a white gold or platinum setting.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0039,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/2DMYQ69DDX5B.jpg,A triple-strand pearl bracelet with a diamond clasp.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0040,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/2DP6FEGXVJ1Q.jpg,"Three-strand bracelet with sunstone, moonstone, and milky quartz oval beads, silver clasp and charm.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0041,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/2JHIRBNXUYR7.jpg,A delicate gold chain bracelet featuring a teal oval gemstone and a small cutout charm.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0042,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/2ULFR5D7UYLB.jpg,A silver curb chain bracelet with a blank rectangular tag flanked by cherubic angel figures.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0043,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/2WGZHVH8O1V3.jpg,A close-up shot of a teal and green Pura Vida bracelet with a beige cord and silver charm.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0044,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/2XJ1BV7UBEN6.jpg,A gold bangle bracelet with a white mandala charm and small gold charms.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0045,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/2YCJBDMHEP98.jpg,"A silver bangle bracelet with charms featuring paw prints, a bone, and hearts engraved with ""You Had Me At Woof"" and ""My Dog"".",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0046,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/34CUB6GAXYUF.jpg,A close-up shot of a silver double-link charm bracelet with a small safety chain.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0047,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/365-00492_1400x.jpg,"A single, large pearl centered on a black cord necklace against a white background.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0048,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/37CIREKOGY4M.jpg,A sterling silver bracelet with three rose gold infinity charms.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0049,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/38K6GYXUXK29.jpg,"Two beaded bracelets, one light green with a tree of life charm, the other teal, lie side-by-side on a gray surface.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0050,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/3N5FW2KN4BLJ.jpg,A close-up shot of a diamond tennis bracelet with alternating white and yellow gold settings.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0051,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/3S2WKJ8PUBX5.jpg,A black leather braided bracelet with a silver charm.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0052,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/3TD2JVMZX8FZ.jpg,A luxurious tennis bracelet featuring alternating cushion-cut sapphires and diamonds in a white gold setting.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0053,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/3TLNAAFFXWXH.jpg,"A delicate white gold bracelet featuring a single, small bezel-set diamond on a delicate chain.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0054,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/3YBQ4Z599KNK.jpg,A rose gold bracelet adorned with pink opal and clear rhinestone flower charms.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0055,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/3ZAN8BNV9EBV.jpg,"A gold bangle bracelet adorned with a ruby, a pearl, and sparkling cubic zirconia stones.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0056,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/43DOTJXD75JE.jpg,A rose gold and silver Pandora bracelet with a pave heart charm.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0057,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/46NWRDMSIN2O.jpg,"A silver Pandora bracelet adorned with various pink and white charm beads, including patterned and solid beads, on a light gray background.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0058,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/49NWAOBUYO2B.jpg,"A silver bracelet with a bow-shaped clasp adorned with small diamonds, on a white background.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0059,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/4H2CZV5OCCE7.jpg,A close-up shot of a silver Cartier Love bracelet with four visible screws.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0060,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/4HII778KV8EE.jpg,"A blue and white beaded bracelet with a small charm, tied with a blue cord.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0061,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/4IZIUT54RT6L.jpg,"A delicate gold bracelet featuring a hexagonal lapis lazuli gemstone, a small diamond accent, and a branded clasp.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0062,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/4JOSFGGU72VN.jpg,"A stack of six beaded bracelets with gray, silver, and peach tassels.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0063,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/4K74L13CJ6LF.jpg,"A silver heart-shaped cuff bracelet featuring inlaid turquoise and mother-of-pearl, depicting a lotus flower.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0064,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/4L1ZLZB2T8PU.jpg,A bracelet made of black lava beads with seven chakra stones interspersed.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0065,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/4L8DX4XXGQDC.jpg,"A rose gold adjustable bracelet featuring five smooth, pebble-shaped charms on a twisted rope cord.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0066,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/4LC5MYV180U7.jpg,A close-up shot of a dark iridescent pearl bracelet on a white background.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0067,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/4O0PRFGCK2T7.jpg,"A brown braided cord bracelet featuring a small, detailed charm of a Yorkshire Terrier.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0068,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/4OCSNV1HA0U6.jpg,A dazzling tennis bracelet featuring a continuous row of round brilliant-cut diamonds set in a white metal.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0069,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/4TNW5DWZ0GDH.jpg,"A light blue beaded bracelet with colorful abstract patterns on each bead, featuring a silver clasp and light blue cord.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0070,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/4V0TM0SEYF83.jpg,A silver adjustable bracelet featuring opal and cubic zirconia stones.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0071,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/4VDE5KII2XRV.jpg,A delicate bracelet featuring turquoise and opal beads on a sterling silver chain.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0072,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/4YTO3H61YG0N.jpg,"A silver charm bracelet for a daughter, featuring pink charms of hearts, angels, butterflies, a Bible, and the word ""Daughter"".",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0073,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/50079ABYVKED.jpg,A dazzling tennis bracelet featuring a continuous row of sparkling princess-cut diamonds set in white gold.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0074,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/51W6O3XH8PTC.jpg,A delicate gold anklet with three small stones and a simple chain.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0075,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/53WY8QXI5ULW.jpg,"A silver cuff bracelet adorned with two dark purple oval cabochons and one milky white oval cabochon, set in ornate floral detailing.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0076,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/559d0ac5-9989-4606-bb0b-a0a798688adf.jpg,A bracelet of dark grey pearls with a silver clasp.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0077,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/55L9DM5CR141.jpg,"A silver charm bracelet with letter and heart charms, a rose charm, and other decorative elements.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0078,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/56AI03HFNX2V.jpg,A luxurious diamond and emerald encrusted silver jaguar bracelet.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0079,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/579YZVZ5AD3P.jpg,"A silver medical ID bracelet with a caduceus symbol on a rectangular plate, attached to a curb chain.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0080,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/5CSDN383Z8BQ.jpg,"A close-up shot of a delicate tennis bracelet featuring small, round diamonds set in a continuous line on a white background.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0081,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/5FT93A4O6YJA.jpg,"A silver charm bracelet featuring sea glass beads, starfish, seashells, and dolphin charms.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0082,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/5FX2SBKTITYC.jpg,A gold bracelet adorned with a row of marquise-cut diamonds.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0083,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/5GNWOHTQS771.jpg,A silver bangle bracelet with a blue mandala charm.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0084,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/5IPSJ8Z3P6NY.jpg,"A silver Pandora bangle bracelet with two gold-toned circular charms encrusted with small, clear stones, reflected on a glossy white surface.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0085,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/5J7UTHWI5OQS.jpg,A multi-layered silver bracelet with sparkly embellishments and a clasp.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0086,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/5JB47ZDA3SS0.jpg,A silver necklace featuring interconnected circles and various shades of purple and blue beads.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0087,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/5KSSMCN00ZDP.jpg,"A gold bracelet with three floral designs interspersed with leaf-shaped links, featuring small, possibly diamond-like, accents.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0088,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/5KTV1DFT5SYQ.jpg,"A pair of matching beaded bracelets, one white and one black, each featuring a small crown charm.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0089,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/5KY8WNKT1M9L.jpg,A close-up shot of a silver bracelet adorned with numerous baguette and round-cut clear gemstones.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0090,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/5M92HT2P3SM3.jpg,"A silver bracelet with a chain of interconnected heart-shaped links, displayed on a white background.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0091,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/5NIB13NBHXOX.jpg,"A silver bracelet with a charm featuring a clear gemstone surrounded by smaller stones, set against a white background.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0092,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/5RY6AW7CRCOF.jpg,A gold bracelet with a lion's head centerpiece and intricate detailing on a textured gold background.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0093,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/5V6AI1FIE5M1.jpg,A delicate gold chain bracelet featuring a triangular pink gemstone and a smaller round pearl-like bead.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0094,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/5ZYKS67SED0A.jpg,A tennis bracelet featuring alternating sapphires and diamonds set in white gold.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0095,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/61987W5RETMX.jpg,A close-up shot of a black and blue braided rope bracelet with a silver clasp.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0096,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/66Z6Q4HVXVIP.jpg,A silver Pandora Moments snake chain bracelet with a gold PANDORA charm.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0097,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/6784F220AE5V.jpg,A stylish silver and gold cuff bracelet featuring intertwined rope design and a series of linked chain accents.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0098,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/699DBB4C34B4.jpg,"Rose gold bracelet featuring an etched rose design, reminiscent of Beauty and the Beast.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0099,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/6COTTLJKJDMK.jpg,"A delicate bracelet featuring light blue aquamarine gemstone beads separated by small gold beads, tied with a light cord.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0100,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/6DT99H9KXR3I.jpg,A delicate gold bracelet with a rectangular white gold charm set with small diamonds.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0101,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/6DZBJKZL4MII.jpg,"A silver charm bracelet with a small watch face, pearls, keys, and feather charms.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0102,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/6H5C07UMKZ20.jpg,"A close-up shot of a silver, textured bracelet with a small clasp.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0103,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/6HDMAYKV5O9P.jpg,"A black leather bracelet with a gold, ornate buckle and studded detailing.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0104,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/6HKBF8SW8E9C.jpg,A gold bracelet adorned with intricately designed diamond bows.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0105,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/6HSP9PH8ACDI.jpg,A pink beaded medical alert bracelet with a silver ID plate featuring the Star of Life symbol.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0106,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/6M575KPCVQZV.jpg,"A delicate gold chain bracelet featuring a small engraved disc with the letter ""V"" and a tiny blue gemstone.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0107,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/6PH1WLTW23MB.jpg,A delicate silver bracelet with a green evil eye charm and small pearls.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
