external_id,name,category,material,plating,color,size,style,gender,stone,moq,reference_price,currency,image_url,source_url,source_name,data_kind,is_external_reference
JW-E5914E01-20,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Gold / 4 mm x 55 cm,necklace,316,PVD,,,,unisex,,1,28.47,USD,https://jewena.com/static/products/db/JW-E5914E01/v0_009f3f54.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-20,Jewena,external_reference,true
JW-E5914E01-21,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Gold / 5 mm x 40 cm,necklace,316,PVD,,,,unisex,,1,22.12,USD,https://jewena.com/static/products/db/JW-E5914E01/v0_009f3f54.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-21,Jewena,external_reference,true
JW-E5914E01-22,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Gold / 5 mm x 45 cm,necklace,316,PVD,,,,unisex,,1,23.84,USD,https://jewena.com/static/products/db/JW-E5914E01/v0_009f3f54.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-22,Jewena,external_reference,true
JW-E5914E01-23,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Gold / 5 mm x 50 cm,necklace,316,PVD,,,,unisex,,1,26.27,USD,https://jewena.com/static/products/db/JW-E5914E01/v0_009f3f54.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-23,Jewena,external_reference,true
JW-E5914E01-24,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Gold / 5 mm x 55 cm,necklace,316,PVD,,,,unisex,,1,28.23,USD,https://jewena.com/static/products/db/JW-E5914E01/v0_009f3f54.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-24,Jewena,external_reference,true
JW-E5914E01-25,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Gold / 5 mm x 60 cm,necklace,316,PVD,,,,unisex,,1,30.55,USD,https://jewena.com/static/products/db/JW-E5914E01/v0_009f3f54.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-25,Jewena,external_reference,true
JW-E5914E01-26,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Gold / 4 mm x 60 cm,necklace,316,PVD,,,,unisex,,1,30.09,USD,https://jewena.com/static/products/db/JW-E5914E01/v0_009f3f54.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-26,Jewena,external_reference,true
JW-49311EE1-01,Polished Stainless Steel Bezel CZ Tennis PVD Bracelet - Gold White CZ 18cm,bracelet,stainless steel,PVD,,,,unisex,,1,13.31,USD,https://jewena.com/static/products/ee/JW-49311EE1/v0_80ad685c.webp,https://jewena.com/products/polished-316-stainless-steel-bezel-cz-tennis-bracelet?variant=JW-49311EE1-01,Jewena,external_reference,true
JW-49311EE1-02,Polished Stainless Steel Bezel CZ Tennis PVD Bracelet - Silver White CZ 18cm,bracelet,stainless steel,PVD,,,,unisex,,1,11.85,USD,https://jewena.com/static/products/ee/JW-49311EE1/v1_53cc5120.webp,https://jewena.com/products/polished-316-stainless-steel-bezel-cz-tennis-bracelet?variant=JW-49311EE1-02,Jewena,external_reference,true
JW-49311EE1-03,Polished Stainless Steel Bezel CZ Tennis PVD Bracelet - Silver Black CZ 18cm,bracelet,stainless steel,PVD,,,,unisex,,1,11.92,USD,https://jewena.com/static/products/ee/JW-49311EE1/v2_aaece276.webp,https://jewena.com/products/polished-316-stainless-steel-bezel-cz-tennis-bracelet?variant=JW-49311EE1-03,Jewena,external_reference,true
JW-49311EE1-04,Polished Stainless Steel Bezel CZ Tennis PVD Bracelet - Gold Black CZ 18cm,bracelet,stainless steel,PVD,,,,unisex,,1,13.31,USD,https://jewena.com/static/products/ee/JW-49311EE1/v3_e9e0cf03.webp,https://jewena.com/products/polished-316-stainless-steel-bezel-cz-tennis-bracelet?variant=JW-49311EE1-04,Jewena,external_reference,true
JW-49311EE1-05,Polished Stainless Steel Bezel CZ Tennis PVD Bracelet - Gold Sky Blue CZ 18cm,bracelet,stainless steel,PVD,,,,unisex,,1,15.69,USD,https://jewena.com/static/products/ee/JW-49311EE1/v4_ce30c94c.webp,https://jewena.com/products/polished-316-stainless-steel-bezel-cz-tennis-bracelet?variant=JW-49311EE1-05,Jewena,external_reference,true
JW-49311EE1-06,Polished Stainless Steel Bezel CZ Tennis PVD Bracelet - Silver Sky Blue CZ 18cm,bracelet,stainless steel,PVD,,,,unisex,,1,14.76,USD,https://jewena.com/static/products/ee/JW-49311EE1/v5_61b3cc99.webp,https://jewena.com/products/polished-316-stainless-steel-bezel-cz-tennis-bracelet?variant=JW-49311EE1-06,Jewena,external_reference,true
JW-49311EE1-07,Polished Stainless Steel Bezel CZ Tennis PVD Bracelet - Gold Deep Blue CZ 18cm,bracelet,stainless steel,PVD,,,,unisex,,1,15.74,USD,https://jewena.com/static/products/ee/JW-49311EE1/v6_b94e47fb.webp,https://jewena.com/products/polished-316-stainless-steel-bezel-cz-tennis-bracelet?variant=JW-49311EE1-07,Jewena,external_reference,true
JW-49311EE1-08,Polished Stainless Steel Bezel CZ Tennis PVD Bracelet - Silver Deep Blue CZ 18cm,bracelet,stainless steel,PVD,,,,unisex,,1,14.81,USD,https://jewena.com/static/products/ee/JW-49311EE1/v7_a227b57c.webp,https://jewena.com/products/polished-316-stainless-steel-bezel-cz-tennis-bracelet?variant=JW-49311EE1-08,Jewena,external_reference,true
JW-49311EE1-09,Polished Stainless Steel Bezel CZ Tennis PVD Bracelet - Gold Green CZ 18cm,bracelet,stainless steel,PVD,,,,unisex,,1,13.31,USD,https://jewena.com/static/products/ee/JW-49311EE1/v8_8aa8a06f.webp,https://jewena.com/products/polished-316-stainless-steel-bezel-cz-tennis-bracelet?variant=JW-49311EE1-09,Jewena,external_reference,true
JW-49311EE1-10,Polished Stainless Steel Bezel CZ Tennis PVD Bracelet - Silver Green CZ 18cm,bracelet,stainless steel,PVD,,,,unisex,,1,11.92,USD,https://jewena.com/static/products/ee/JW-49311EE1/v9_47bdc49f.webp,https://jewena.com/products/polished-316-stainless-steel-bezel-cz-tennis-bracelet?variant=JW-49311EE1-10,Jewena,external_reference,true
JW-49311EE1-11,Polished Stainless Steel Bezel CZ Tennis PVD Bracelet - Gold Red CZ 18cm,bracelet,stainless steel,PVD,,,,unisex,,1,13.31,USD,https://jewena.com/static/products/ee/JW-49311EE1/v10_803c2555.webp,https://jewena.com/products/polished-316-stainless-steel-bezel-cz-tennis-bracelet?variant=JW-49311EE1-11,Jewena,external_reference,true
JW-49311EE1-12,Polished Stainless Steel Bezel CZ Tennis PVD Bracelet - Gold Purple CZ 18cm,bracelet,stainless steel,PVD,,,,unisex,,1,13.31,USD,https://jewena.com/static/products/ee/JW-49311EE1/v11_f75af214.webp,https://jewena.com/products/polished-316-stainless-steel-bezel-cz-tennis-bracelet?variant=JW-49311EE1-12,Jewena,external_reference,true
JW-4CA50533-01,Bold 316 Stainless Steel Wheat Link PVD Chain Bracelet - Gold Wheat Link 12mm / 21 cm,bracelet,316,PVD,,,,unisex,,1,11.76,USD,https://jewena.com/static/products/40/JW-4CA50533/v0_b875d52a.webp,https://jewena.com/products/bold-316-stainless-steel-wheat-link-chain-bracelet?variant=JW-4CA50533-01,Jewena,external_reference,true
JW-4CA50533-02,Bold 316 Stainless Steel Wheat Link PVD Chain Bracelet - Silver Wheat Link 12mm / 21 cm,bracelet,316,PVD,,,,unisex,,1,10.53,USD,https://jewena.com/static/products/40/JW-4CA50533/v1_6c1fb95b.webp,https://jewena.com/products/bold-316-stainless-steel-wheat-link-chain-bracelet?variant=JW-4CA50533-02,Jewena,external_reference,true
JW-4CA50533-03,Bold 316 Stainless Steel Wheat Link PVD Chain Bracelet - Black Wheat Link 12mm / 21 cm,bracelet,316,PVD,,,,unisex,,1,11.76,USD,https://jewena.com/static/products/40/JW-4CA50533/v2_2cc752ca.webp,https://jewena.com/products/bold-316-stainless-steel-wheat-link-chain-bracelet?variant=JW-4CA50533-03,Jewena,external_reference,true
JW-F3999152-02,Bold 316 Stainless Steel Honeycomb CZ PVD Bracelet - Black Honeycomb CZ Clasp / 13.5 mm 21 cm (8 inch),bracelet,316,PVD,,,,unisex,,1,21.41,USD,https://jewena.com/static/products/a3/JW-F3999152/v1_c4b88495.webp,https://jewena.com/products/bold-316-stainless-steel-honeycomb-cz-bracelet?variant=JW-F3999152-02,Jewena,external_reference,true
JW-F3999152-03,Bold 316 Stainless Steel Honeycomb CZ PVD Bracelet - Silver Honeycomb CZ Clasp / 13.5 mm 21 cm (8 inch),bracelet,316,PVD,,,,unisex,,1,20.25,USD,https://jewena.com/static/products/a3/JW-F3999152/v2_b2d93c45.webp,https://jewena.com/products/bold-316-stainless-steel-honeycomb-cz-bracelet?variant=JW-F3999152-03,Jewena,external_reference,true
JW-F3999152-04,Bold 316 Stainless Steel Honeycomb CZ PVD Bracelet - Silver Smooth Clasp / 13.5 mm 21 cm (8 inch),bracelet,316,PVD,,,,unisex,,1,11.46,USD,https://jewena.com/static/products/a3/JW-F3999152/v3_c9b11e4c.webp,https://jewena.com/products/bold-316-stainless-steel-honeycomb-cz-bracelet?variant=JW-F3999152-04,Jewena,external_reference,true
JW-F5BA2683-01,Polished 316 Stainless Steel Gradient CZ Tennis PVD Bracelet - Aqua Blue / 18 cm,bracelet,316,PVD,,,,unisex,,1,13.61,USD,https://jewena.com/static/products/ba/JW-F5BA2683/v0_8c0c48a1.webp,https://jewena.com/products/polished-316-stainless-steel-gradient-cz-tennis-bracelet?variant=JW-F5BA2683-01,Jewena,external_reference,true
JW-F5BA2683-02,Polished 316 Stainless Steel Gradient CZ Tennis PVD Bracelet - Light Yellow / 18 cm,bracelet,316,PVD,,,,unisex,,1,9.72,USD,https://jewena.com/static/products/ba/JW-F5BA2683/v1_3837492d.webp,https://jewena.com/products/polished-316-stainless-steel-gradient-cz-tennis-bracelet?variant=JW-F5BA2683-02,Jewena,external_reference,true
JW-F5BA2683-03,Polished 316 Stainless Steel Gradient CZ Tennis PVD Bracelet - Light Purple / 18 cm,bracelet,316,PVD,,,,unisex,,1,9.72,USD,https://jewena.com/static/products/ba/JW-F5BA2683/v2_d0022fa4.webp,https://jewena.com/products/polished-316-stainless-steel-gradient-cz-tennis-bracelet?variant=JW-F5BA2683-03,Jewena,external_reference,true
JW-F5BA2683-04,Polished 316 Stainless Steel Gradient CZ Tennis PVD Bracelet - Pink / 18 cm,bracelet,316,PVD,,,,unisex,,1,10.53,USD,https://jewena.com/static/products/ba/JW-F5BA2683/v3_ec3ff546.webp,https://jewena.com/products/polished-316-stainless-steel-gradient-cz-tennis-bracelet?variant=JW-F5BA2683-04,Jewena,external_reference,true
JW-C2BC3964-01,Bold 316 Stainless Steel Box Link PVD Chain Bracelet - Gold U-Shaped,bracelet,316,PVD,,,,unisex,,1,7.59,USD,https://jewena.com/static/products/4c/JW-C2BC3964/v0_1c2dd936.webp,https://jewena.com/products/bold-316-stainless-steel-box-link-chain-bracelet?variant=JW-C2BC3964-01,Jewena,external_reference,true
JW-C2BC3964-02,Bold 316 Stainless Steel Box Link PVD Chain Bracelet - Silver U-Shaped,bracelet,316,PVD,,,,unisex,,1,6.23,USD,https://jewena.com/static/products/4c/JW-C2BC3964/v1_51e2dbf9.webp,https://jewena.com/products/bold-316-stainless-steel-box-link-chain-bracelet?variant=JW-C2BC3964-02,Jewena,external_reference,true
JW-C2BC3964-03,Bold 316 Stainless Steel Box Link PVD Chain Bracelet - Gold Black -Tone,bracelet,316,PVD,,,,unisex,,1,7.59,USD,https://jewena.com/static/products/4c/JW-C2BC3964/v2_69b874f6.webp,https://jewena.com/products/bold-316-stainless-steel-box-link-chain-bracelet?variant=JW-C2BC3964-03,Jewena,external_reference,true
JW-C2BC3964-04,Bold 316 Stainless Steel Box Link PVD Chain Bracelet - Two-Tone,bracelet,316,PVD,,,,unisex,,1,7.59,USD,https://jewena.com/static/products/4c/JW-C2BC3964/v3_0c1c0505.webp,https://jewena.com/products/bold-316-stainless-steel-box-link-chain-bracelet?variant=JW-C2BC3964-04,Jewena,external_reference,true
JW-C2BC3964-05,Bold 316 Stainless Steel Box Link PVD Chain Bracelet - Blue Black -Tone,bracelet,316,PVD,,,,unisex,,1,7.59,USD,https://jewena.com/static/products/4c/JW-C2BC3964/v4_550071fd.webp,https://jewena.com/products/bold-316-stainless-steel-box-link-chain-bracelet?variant=JW-C2BC3964-05,Jewena,external_reference,true
JW-C2BC3964-06,Bold 316 Stainless Steel Box Link PVD Chain Bracelet - Blue Silver -Tone,bracelet,316,PVD,,,,unisex,,1,7.52,USD,https://jewena.com/static/products/4c/JW-C2BC3964/v5_41fdc558.webp,https://jewena.com/products/bold-316-stainless-steel-box-link-chain-bracelet?variant=JW-C2BC3964-06,Jewena,external_reference,true
